,id,content,Sentiment_updated
112,113,@isabellacane Thanks! I was gonna make a joke and say they look just like mine!,worry
113,114,@ihatecrayons http://twitpic.com/4w75p - I like it!!,neutral
114,115,Working on several book projects that are due to be released within the next few months.  I need an extra pair of hands!  It's all good...,worry
115,116,@harleyfatboy88b you're welcome,neutral
116,117,"I have lived through our band's first performance, and it was pretty damn fun.",fun
117,118,Watching Oceans 11 in Vegas - seems so appropriate,neutral
118,119,Had a nice dinner with the hubby and now on our way home  45 min drive out of the city. *sigh*,love
119,120,@donutpower ... Kirby playing mario kart? ... Umm ... Donut? Are you sure you're in the right mindset?,neutral
120,121,"Thinking about my mother, and all the amazing mothers I know",happiness
121,122,@victor_go you sure ?,neutral
122,123,AK tonight with the lady and friends,neutral
123,124,is tired but happy the orphanage was wow.. and babysitting was really fun,happiness
124,125,is off to Tagaytay with the family! Happy Mum's Day to all you hot momma's,worry
125,126,@deanlusk I love catching people singing in their cars. Even better if they're dancing,worry
126,127,is ready for summer!!!,neutral
127,128,"Watching water boy  about to grub on some carnisada. Yum,Yum!!",neutral
128,129,Going to the grocery store with my Best Friend,worry
129,130,@car4dave lol thanks!,happiness
130,131,@couponprincess Yes!!!! you me @brandyellen and @mkdb won the 4 that were given away    #sigjeans,worry
131,132,tired as hell!!!! bed time from cara  nighty night twitter world..,neutral
132,133,Sitting waiting for dough to rise. There's something about it that calms me down. Maybe the knowledge that I'll have cinnamon rolls soon,worry
133,134,@zactak I know!  I loved it.,love
134,135,"@sethsimonds well, my question is on your blog post",neutral
135,136,Watching superbad with brit,neutral
136,137,@kiwi_kikireestl nooo. you were on my yahoo account. hmm. i wanna say b2k days. idk fo'sho,worry
137,138,"@davekennedy Wow, you might be countering the Benedryl with your enthusiasm.",worry
138,139,"right now, im on the Internet Cafe",neutral
139,140,"@MedBotJinx #TFARP *takes a moment to translate, then nods* You're quite welcome.  Also, dear, it's probably best if you stay here again-",happiness
140,141,@sethsimonds  Re: chocolate thing,neutral
141,142,@limheeian iPhone is awesome man!! Time to join the Apple cult!!,happiness
142,143,on my way homee  i love long car rides&lt;3,love
143,144,Why is @MRCRISIS scared or @Mskatrina25 lmao.. Someone pls tell me!!,worry
144,145,"We just crossed into the golden state, its nice being home",neutral
145,146,@fatbellybella lol cute.  BTW Happy Mother's Day lady,love
146,147,@TheSpencerSmith I'm part of a religion called People-With-Good-Taste-In-Music. We don't celebrate Jonas Brothers Day.,love
147,148,@Ep31 eh...I might drive through Chi-town on my way to Colorado....maybe I'll get one then.,neutral
148,149,Did anyone go photographing today? I managed to get a few macro shots of some flowers that were blooming,worry
149,150,just downloaded more music and videos on my ipod.,happiness
150,151,@karramandi Where r u Yvonne?? Haven't seen u in the google groups in a day or so. Miss ya.,love
151,152,"@deekgeek Awwwwwww. You two are the cutest.  And gods, I LOVE your hair.",love
152,153,"@tatumeubanks I think you were dreaming that!  However, my memory does suck so maybe not",sadness
153,154,@ShannonElizab dont ya know? people love the human society,love
154,155,@sparrowstudio They turned out great! And I had a killer workout before-hand so no guilt,neutral
155,156,Found out earlier today that I'm going to be an Uncle,neutral
156,157,Operation Mischevious (Pinwheel) to commence in 25 min... lol  waiting on Ed to show up,neutral
157,158,@miizronnie aha speaking German  haha maybe i should send some stuff in Italian ;),happiness
158,159,just doin some jammin,neutral
159,160,"right n0w, im on my bed  egotastic r0cks!hahaha..",happiness
160,161,@davedays GAH! I got some of your songs off itunes  I'm so happy! They're SO AWESOME!!! keep it up!,happiness
161,162,@TasteMyInk most likelyy. Just need to save the money and practice my ass off.,worry
162,163,is almost over the legal limit of db at the garage.,neutral
163,164,I make delicious pasta,neutral
164,165,@imjstsayin lol  damn...I love those things too,love
165,166,@ginaxmarie  but that is the only logical reason why you'd get hollered at 3x in the past hour. but what is dnw?,worry
166,167,Im kinda bored anyone else I think ill listen to some hip hop its pretty good you should check it out www.bseresults.net,neutral
167,168,flashlight tag!  i love playing games in the dark.,love
168,169,Wishing all the Mom's in the world a VERY HAPPY AND RELAXING MOTHERS DAY. May you get to spend the day with your feet up being pampered,relief
169,170,relaxing...enjoying the evening,happiness
170,171,@JusticeJuice  That's alright. Add your egg and maybe some sort of leftover meat and it's not so bad &lt;3,neutral
171,172,just got done washing dishes not too long ago,neutral
172,173,"@nimbupani Divya, thnx a lot. Bt IMO it won't resolve the renaming prob? Let me know.  Now if only #apple would act upon my feedback.",neutral
173,174,tomorrow's mother's day  me n my sis gonna make an onigiri for our mom~!! its gonna be so kewl!! cant wait for tomorrow &gt;_&lt;,worry
174,175,@MandyyJirouxx Oohh Yaay like it !  ?    Love ya,love
175,176,"@inesperado Glad to hear you'll have your 1st tournament soon. As KSN says, &quot;We need more practice!&quot;",neutral
176,177,I learned the Hoedown Throwdown!,neutral
177,178,I got the new Silverstein CD. aha. Its AMAZING.  I highly recomend it.,happiness
178,179,"OOOH,  i have a question for you all. DOES YOUR CHAIN HANG LOW?  idk! sorry!",sadness
179,180,NGH episode 28 is out! check it out!,neutral
180,181,@Hey_B @Cabbrock thank goodness!!,neutral
181,182,just came back from the mall,neutral
182,183,Just finished with a little booty duty  that was a work out. Now I'm hungry. .,neutral
183,184,"@JaySodmg heyy jay, wat's going on witcha ? &amp; do you want a twitter background ? you already know i gotcha if you need anything.",worry
184,185,@superbjorn as always  how are you?,neutral
185,186,im thinking that im going to have fun tonight....and maybe some changes are coming,neutral
186,187,@WickedBitch: I'm real,neutral
187,188,@MishaSaysRawr i'm totally gonna have money to actually buy a pair of shoes this time,worry
188,189,i wanna b maliks from taking the stage,worry
189,190,@jayde_nicole http://twitpic.com/4t6qx - i have the exact same pic except it's my hubby &amp; my chihuahua tucker   very cute.,love
190,191,@SeanScottPotter I'm watching girl movies all night! Great night for movie night,happiness
191,192,"@lunaliu  You are such a positive thinker, I am for sure keeping you around!",neutral
192,193,@PRGabbi Y?!?!?!? i would rather punch someone,neutral
193,194,Enjoying the heck out of spending time with Amanda.  Do i really have to go back tomorrow?,sadness
194,195,@acforbes wow!! blessings to you my friend...what awesome words this beautiful Saturday...,love
195,196,"@lalalalexi read it! lucky, why are you getting a new phone?",worry
196,197,@amberchase more gifts for you,neutral
197,198,So bored... need more people for rsmv !!  jagex doesn't let u say RSMV unless its the first word u say in the sentence.. sad,worry
198,199,@DAWIIZME lmao!!! ummm duh gurl I need to buy me some more v-necks I like em!!!,neutral
199,200,"@mlomb hi, the parody for iPhone is hysterical, not because it's funny, but because one cannot play the video on iPhone",fun
200,201,"Have beautiful dreams all, I'm off to snuggle down with my beautiful babies as they are done with the outdoors.",happiness
201,202,Going to bed after the CAVS game  Don't judge me LOL,happiness
202,203,Just got off the phone with garrett.  still cleaning my room. It s raining  that makes me feel better,worry
203,204,@NA617_NKOTB LOL you r not a loser u drove 8 hours in a day.. U need rest  of was it 2 days? I'm still tired lol,worry
204,205,"@seetiggerbounce White House Correspondents Dinner, funny stuff for political junkies. #whcd   I'm a recovering addict.",happiness
205,206,Getting ready to go to the comedy club and listening to some Q-Tip  Who's on iChat or Skype right now? I need an outfit critique,fun
206,207,@MKinMotion just trying to make you feel at home?,worry
207,208,@pamslim can't wait to crack it open and no doubt will learn from it as well as support my evangelizing cubicle-freedom-ness!,love
208,209,@LauraJames3 I crochet Laura. Simple stitches...I can make a mean afgan!,worry
209,210,@TheeRealFDHC Ahhh I can only imagine what you're looking at!! So luckyyy. Hope your having fun.,happiness
210,211,on the phone w. Chantellie ! &lt;3,neutral
211,212,thanks !!my real name is nadia,neutral
212,213,"Lifetime movies are lame.  That's for you, Q!",neutral
213,214,@onesweeterlife  Great!  I was hoping to run under 40mins and ended up doing 39:07  Woo hoo!  Gotta love the C25k,love
214,215,@meganwest no we had to go to malibu to find a beach!,worry
215,216,happy mommah's day to your moms  http://plurk.com/p/stqya,love
216,217,@acummings I am ecstatic client can do a deed in lieu of ...so Monday I will take my sign &amp; lockbox off happy another satisfied client,neutral
217,218,listeninq to music; Butterfly Fly Away - Miley Cyrus,neutral
218,219,@SuzanneShaffer You're welcome... and you're welcome!,happiness
219,220,@tadasauce Have a good time,neutral
220,221,"this song called stolen, it soooo amazing!! it by Dashboard Confessional",surprise
221,222,@janae24 LOL! Let's find something quickly.,worry
222,223,I gave a homeless lady named Ruby an Ice Cream sandwich and a cigarette.  That is my g00d deed for the day. :p,happiness
223,224,- going somewhat out of town? (x visitng uncle boyet &amp; famm!,worry
224,225,Chilling feeling really nice..,love
225,226,"@idann, now that sounds better",worry
226,227,Going to MIyake's for some sushi and sake bombs.,neutral
227,228,"I wanna be like vocabulary donna, all in Chicago.    I need to put wu tang 8 diagrams on my ipod  that CD reminds me of someone special",sadness
228,229,@cranberryquill. welcome to Twitter!!!    Love you!!!  Can't wait to see you next month,love
229,230,"@mikaylaap Hey did you get any more info about your graduation? And I think my mom's gonna let me go to CP, if you guys still wanna go!",enthusiasm
230,231,@Strabismus You are too kind! I swear I'm always feeding someone!,worry
231,232,i forgot how much i love all these songs on my itunes. i love shuffle  and i love watching the pranks from AP Tour!,love
232,233,Is listening to the new jonas brothers song,neutral
233,234,@LiveInLove10 YES!!! haahaaa.! break out the jellybeaniesss!,neutral
234,235,"@ruecian something for you is on its way in the mail to your PJ address, just fyi",worry
235,236,"@rvagirl Oh I believe you...   sooo @RebeccaNavarro thinks she belongs elsewhere, I say I dont think so...",worry
236,237,Selling my laptop for CHEAP if anyone's interested!  17&quot; Toshiba 1.3gig ram,neutral
237,238,@retrorewind PLS! Play Journey Don't stop believin' By Journey for @Etown_Jenn  THANKS!!,happiness
238,239,Watching the CAVS!!!!!,neutral
239,240,mine too &lt;3,neutral
240,241,happy mother's day to all mothers out there!!,happiness
241,242,@Mazaroddi  hey hey hey b,enthusiasm
242,243,FTSK and Mercy Mercedes were amazing tonight.. as always,fun
243,244,"@mahamimo Thank you! Your makeup art is top-notch, come to my house every morning! ha ha",happiness
244,245,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!",happiness
245,246,happy mothers day to all those special moms out there.... i luv u mommy!!,love
246,247,chinese food = love. yess im happy,love
247,248,"just got home after an hour at the track, I feel real good now =P running is nice  and abs work and push ups haha =P",happiness
248,249,@krigeren It's been interesting today... to say the least. Overall a good day,happiness
249,250,(bullhorn] tell ur friends 2 follow me  come onnnnnnnnnnnn ppl,neutral
250,251,Watched the White House dinner speech by Barack. He's just so many kinds of awesome!,happiness
251,252,@LisaPreston Thank you for the follow friday love,love
252,253,"@mynewgroove I said I wouldn't drink tonight, but I say this as I drink this Sam Adams",neutral
253,254,@ericviolette hi eric I hope your having a beautiful Saturday,happiness
254,255,"Im soo happy Kellz is back from TN, we bout hang out  all the time",happiness
255,256,@AngeDoubleYou  You can be Cinderelliiee,neutral
256,257,@heyheybeth dis Dick.,neutral
257,258,@mcraddictal,neutral
258,259,"&quot;They say I look yummy &amp; they want a taste, but I'm a human not a sandwich.&quot; LMFAO makes me",happiness
259,260,@ThinkReferrals oh man I'm jealous!  just got it?,surprise
260,261,@ThinkReferrals oh man I'm jealous!  just got it?,surprise
261,262,@zouljiin That is the best sticker EVER. Also. I dig your hair. It's gotten long since I've seen you last.,worry
262,263,@jaymeallover Sry I missed your calls. I fell asleep out of boredom. Colorado Sunrise was enjoyable though.  I actually could hear it. xD,sadness
263,264,Please visit http://vzerohost.com/info and sign up to alpha test a image hosting service!,worry
264,265,@spiderdj82 thank you. yes yes. hooray!,happiness
265,266,soooo sleepy.  but gotta finish this game.  lol. gettt it cavs!  whoop whoop,happiness
266,267,@laurie_pooh what kind of party do we got going now?,worry
267,268,@followfrankie it was jokes!!!  me love the mag..really!,love
268,269,if you are a cute guy add/follow me  i'll do the same,love
269,270,had fun at chel's with nicole and cried watching benjamin button   exciting night i must say,sadness
270,271,i started and fisnihsed gossip girl yesert=day,neutral
271,272,@KeepinUpWKris  Have a Happy Mothers Day! I thought u had blocked me cause i couldn't get anything thru the other day,neutral
272,273,"Star Trek was GREAT yet minor details needed to be worked out, but I give it a Thumbs Up, regardless!",worry
273,274,mmmm chocky cake in the oven.. smells delicious,happiness
274,275,"@travispoling If you click on Settings, there is a link to the public timeline at the bottom of that page.",neutral
275,276,"@eliasharrak ummm, come on, for me twins and slurpees, and being in a car with the twins is going to be pretty epic!!!",worry
276,277,Its beautiful outside. I wish i was in new york city. But this area is pretty cool. Hip and trendy.,love
277,278,Having fun with all my dolls  tequillla...carne asada....and my mom dancing funny!,fun
278,279,Kyle going to the garage. His night is done. Think we'll get an interview?  #NASCAR,worry
279,280,Averaged $31 per hour at work today! Gotta love holidays,neutral
280,281,"listening to @hardqueen after last nights Up from the Underground screening, awesome job @latapia",love
281,282,@scenexxqueen haha. welcome to my world. we fail together.,happiness
282,283,@MarcusG704 why are you surprised?,surprise
283,284,flordia- and @stellarkartband- where do u send in the pictures of the shrits? saw ur update on facebook,worry
284,285,"&quot;Its a calander.&quot;Calendar!&quot; COLLANDER!&quot; Bahaha, That part was hilarious, of course, the whole thing was hilarious",happiness
285,286,at BIF.... i love this buliding....,love
286,287,i am on aim getting ready to go to bed. running a 5k tommorow for mothers day. wish me luck!,happiness
287,288,Kudai a Pop Rock band from Chile is the last one taking the stage tonight.,sadness
288,289,"Spending time with the fammmmm. (: hopefully, going to pay my bill soon...",worry
289,290,my mom watched my new video and she actually LOL  Love her! xoxo http://bit.ly/16w6zV,love
290,291,http://twitpic.com/4w855 Operation Happy Mom a success!,happiness
291,292,@danielledeleasa yeeah!! me too! it's amazing!!! I'm freaking out lol,love
292,293,i had a really good day today,happiness
293,294,@officialjosephj Hahhaa okaay ily! Lmfao,worry
294,295,@andcristina OHH. haha ok thanks,happiness
295,296,@TennyDesign Rogï¿½rio Minotouro will fight now!,worry
296,297,"@MckMama Why are you scared of the mouse? If you can figure out *why* you're scared, maybe you can deal with your fear.",worry
297,298,@TeeMonster The Case of the Gigolo's Picolo?,neutral
298,299,@juicystar007 i think you should do it with hannah,neutral
299,300,i have a buzz,neutral
300,301,"If u want to change the fruits, u will first have to change the roots. If u want to change the visible u must first change the invisible",hate
301,302,Finally going to bed! Woo-Hoo! Gotta work at 5am! Lots of love to all!,relief
302,303,"All right, time for happy face.",happiness
303,304,took 8 trips to basement to move books from my room - i have a floor again,neutral
304,305,"Reading, cryin, reading, laughin...  Enjoying the ride while being enlightened and inspired by letters to a young sister!!  Thx Hill.",neutral
305,306,speechless,neutral
306,307,Just saw Zack and Miri Make a Porno with @marissamariposa and @mlewicki . sooo good.,worry
307,308,I know I have lots of emails to answer! I will be home tomorrow,worry
308,309,is hungryyyyyyy!! going to eat traditional indian food...the pakistani way. woowoo!  hahaha! &gt;[_()\/3,neutral
309,310,"About to pik out my hair, braid it up, scrub off my make up and relaxxxx.... tonight was fun",happiness
310,311,iis back homee. Boredd. chillinq w| qrandma  ï¿½ ily Granny,worry
311,312,"@CHRIS_Daughtry You should come play in the college town of Eau Claire, WI.  Seriously, you'd have TONS of people turn out for it.",worry
312,313,loven the rs ftw pvp is bac,neutral
313,314,@shygamer @Zeralyn I told ya'll I am a good girl. You can see my halo and everything,worry
314,315,Headed to eat with my hubby n my mommy!!  So ready to have some drinks...,worry
315,316,"@TraceyDukes Hey, TDukes! I flwd U immediately this morn.when DHmptn mentioned the bit abt the tattoo. LOVE her,she's my #1Fav. twitterer",love
316,317,@dosjon NOPE.  It's been years since it's happened like this.,neutral
317,318,"I love these App things, it be hella awesome bro.",love
318,319,Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,worry
319,320,@birdsall Sorry about that. I got behind on followers and am still catching up.  I follow folks that @ me (including you,worry
320,321,good night people   sweet dreams,love
321,322,@MarissaAshley you are very welcome,neutral
322,323,@ metro with achan,neutral
323,324,relaxing night at home with best people,happiness
324,325,@MissPrecious2 &quot;coomee to ja-maiii-cah an feel alllll right!!&quot; hahaha,happiness
325,326,@garrettmurray Same here!  I just wanted it to keep going and not end... ever! ;),worry
326,327,"@tranceasleep if you could get down to easton, you could join us!",neutral
327,328,"@rubydoor hi ruby, u said u were painting yesterday (i think, lose track of time) what are you painting? can we know the concept/subject?",neutral
328,329,@sueleeBAYbee audiotistic! sneak your little butt in,worry
329,330,Mo williamssssss,neutral
330,331,@cldoug Jana laughed when I told her about the anniversary tweet.,neutral
331,332,just fought with my printer...after 2 hours i claim victory... i hate electronics,hate
332,333,I slept at 2am yesterday,neutral
333,334,just came back from a nice bike ride with her family and is now refreshed thanks to a shower,happiness
334,335,"@Maariiaan hahahah yeah, you're right! Plus I'm Twitteraddict so, You'll find me here all (well almost) day most likely",neutral
335,336,@roccodispirito Right on! Pull up a chair and welcome,happiness
336,337,"Played some Mythic Brawl in order to get a good screenshot. Instead, I got a Perfection!",happiness
337,338,"Gonna see the cab twice!  In August, I'm taking my friend Jess to the Vegas one for her bday!",neutral
338,339,is cute,love
339,340,My goal is to be in bed by 2am,neutral
340,341,"is home  i love traveling, but there is nothing like coming home!",neutral
341,342,"@_Anix_ I bought cheesecake ice cream last week, thinking it was good, and it sucked so much.   I'm taking yours.",happiness
342,343,@KGeezY3: more interested in watching SNL for Ciara than Justin Timberfake,neutral
343,344,"FIFTH RUNNER UP  at keg with @kirsten95 , @devonshire94 , hannah, darian, fiona, &amp; phillipa",neutral
344,345,1.Tiffany is already ten minutes late 2.Reading Flowers in the Attic 3.Late breakfast at Starbucks 4.Listening to Waking up in Vegas,sadness
345,346,@JanetRoper  Indeed. Maybe somebody needs a new cat.,worry
346,347,"I love my mom! Happy Mother's Day, mommies",love
347,348,@MckMama  This has made my night!!  Way too funny!!,happiness
348,349,"@HuMBush just nothing perfect in life, darn it!",sadness
349,350,@bencredible hopefully the weather has been nice/cooperating,worry
350,351,Goood Moring,neutral
351,352,Okay now that i will not be able to sleep tonight what should we do,worry
352,353,Women in Science &amp; Technology conference in La Jolla - what an interesting day!  Met some really great people!,worry
353,354,"@Jennettemccurdy http://twitpic.com/4w7yp - Haha, she looks a little like me. I'd get ecstatic if and when I meet you.",happiness
354,355,best part of notting hill is on!!  &quot;daft prick&quot; haha love it.,love
355,356,@sfoak I would LOVE to be the dark princess of the PCI evil empire.... oh wait! That would make me an auditor again!,fun
356,357,Feelin really awful. Having mono sux so much. Omg...listening to music,worry
357,358,@CVJason @MINDY979 @inotherwords_c @scrapplesandwic @thenewnicole @Sweettreat Thank you for the FFs my friends!,love
358,359,@stephbfly Truly? Like what?,worry
359,360,@DomSoFresh bl MUTHAFUCKIN ah!  I win!,neutral
360,361,"@MoocherGirl I'm originally from Seattle, I've just lived everywhere else, including Many places in the south",neutral
361,362,stocked for tonight,neutral
362,363,"@TrevorGoff WOO, I knew I could convert you to @UberTwitter  I think the UI is way more friendly compared to TinyTwitter.",happiness
363,364,@sup_ashley OH REALLY?!,surprise
364,365,@NiecieD Nice idea for a M-I-L gift. Did you crochet it? Good idea about looking online.  There are Youtube videos showing lefty crochet.,enthusiasm
365,366,"@taylorswift13 I just want to say: Both you,Taylor Swift, and Hayley Williams have a great and lovely voice!",love
366,367,"Wats shakin out there y'all ? I'm starting to get nice now,",worry
367,368,I feel like dressing up for the heck of it.&amp; putting make up on. Haha,fun
368,369,Relaxing,neutral
369,370,"This is my new College project, i just wanted to share it  Hey Mr Bartender - College Project http://bit.ly/Ba3Nf",neutral
370,371,"twittering, texting, and ipoding. i love the invention of mutitasking!",neutral
371,372,Otw my to church..,neutral
372,373,Search Ryan Carera &amp; Josh Kelley  They're really good,happiness
373,374,playing board games!!!,neutral
374,375,"@Praxilla she can rock a guy's world at night, then make him pancakes the next morning!",happiness
375,376,Hellerrr new followerss. I'm Tricina &amp; uhhm I'm cool,happiness
376,377,i loudly said something &amp; my coworker replied &quot;i dont know brian klemm! But even I love brian klemm!&quot;  ( @Klemm_0_Tronic ),surprise
377,378,"Great motorcycle ride along Hood Canal and through Gig Harbor today. Not to warm, great sunshine, stunning day",worry
